iterations,interior_loss,interior_loss_validation,boundary_loss,boundary_loss_validation,interior_point_counts,boundary_point_counts,time_elapsed,L2_errpr,max_error
1,30.673160539584224,26.885105501437838,808.243686605926,788.6222862773017,512,512,1.6944186687469482,0.001333587154782141,0.0048662767142004446
2,731.3645260793186,635.5817839519359,23000.60978803694,22535.780246577506,512,512,1.7186927795410156,0.001333587154782141,0.0048662767142004446
3,16.11373705579766,13.789181282667556,812.5586932271146,796.970675019458,512,512,1.7416303157806396,0.001333587154782141,0.0048662767142004446
4,0.5475319591166928,0.5618249537843567,43.45702370693743,41.83037286686639,512,512,1.7655668258666992,0.001333587154782141,0.0048662767142004446
5,207.77354245997307,181.04951890881202,5939.32198786968,5810.446930233336,512,512,1.7904996871948242,0.001333587154782141,0.0048662767142004446
6,17.32029912947352,15.4253900284303,288.60926676999793,280.23237773083554,512,512,1.813438892364502,0.001333587154782141,0.0048662767142004446
7,1.6311700195657006,1.5486931138967182,33.81380213315938,32.11337419647605,512,512,1.8363778591156006,0.001333587154782141,0.0048662767142004446
8,0.19738478754606842,0.22459011965222916,64.91734038437097,63.05884184058288,512,512,1.8593173027038574,0.001333587154782141,0.0048662767142004446
9,1.4985520425734107,1.4292170579949868,33.83245599621769,32.157774000963116,512,512,1.8822553157806396,0.001333587154782141,0.0048662767142004446
10,1.4863933676707026,1.4187258169829688,33.81176928872586,32.14086091923302,512,512,1.9031996726989746,0.001333587154782141,0.0048662767142004446
11,1.4375168568442813,1.3763198858964298,33.750796953605914,32.09407374461056,512,512,1.9261384010314941,0.001333587154782141,0.0048662767142004446
12,1.305771326144057,1.2630914704039655,33.30717396790145,31.689526418669228,512,512,1.9510712623596191,0.001333587154782141,0.0048662767142004446
13,0.8580470815639307,0.859498195375189,32.29974248596534,30.73287476609137,512,512,1.9730122089385986,0.001333587154782141,0.0048662767142004446
14,0.5892703316679535,0.5926603340039178,31.393878959505297,29.87298070341884,512,512,1.9959526062011719,0.001333587154782141,0.0048662767142004446
15,0.8775739552377776,0.7600045794166894,60.01217979905664,58.06678358430332,512,512,2.0178933143615723,0.001333587154782141,0.0048662767142004446
16,0.5710602745386347,0.5717154087739582,31.20119659174531,29.686195262613378,512,512,2.041191339492798,0.001333587154782141,0.0048662767142004446
17,0.5367946336742411,0.5361486584035222,31.050416286167007,29.54121841080682,512,512,2.0651280879974365,0.001333587154782141,0.0048662767142004446
18,0.20354463531825165,0.1873125411250866,37.47086384565584,35.85642739636178,512,512,2.0860719680786133,0.001333587154782141,0.0048662767142004446
19,0.44333183175848295,0.44639252741340363,30.90538522243753,29.40471490717392,512,512,2.107015609741211,0.001333587154782141,0.0048662767142004446
20,0.13393878959297403,0.15567653686010927,31.3202347248959,29.821131606854323,512,512,2.1289710998535156,0.001333587154782141,0.0048662767142004446
21,0.2766186048961765,0.2922827841472513,30.89543327232722,29.402681026919574,512,512,2.1508982181549072,0.001333587154782141,0.0048662767142004446
22,0.15847480855338272,0.18333639490658227,29.880931955855754,28.34166342390833,512,512,2.171842336654663,0.001333587154782141,0.0048662767142004446
23,1.553919240476138,1.4723749594201696,32.04613762643776,30.32053028437546,512,512,2.193786382675171,0.001333587154782141,0.0048662767142004446
24,0.2214796327638267,0.24637829551812035,29.68430858932995,28.1341997293033,512,512,2.2157347202301025,0.001333587154782141,0.0048662767142004446
25,0.20321739086959673,0.22863561480200664,29.628273317151248,28.072752254894198,512,512,2.244647979736328,0.001333587154782141,0.0048662767142004446
26,0.17179343918302176,0.19615653833339403,29.506669473960997,27.943306314520076,512,512,2.2665886878967285,0.001333587154782141,0.0048662767142004446
27,0.1643996766580588,0.18643928595101641,29.34325434305369,27.777037980899664,512,512,2.2875325679779053,0.001333587154782141,0.0048662767142004446
28,0.19848850463771558,0.21607714411276857,28.913667953864866,27.351596761083787,512,512,2.3124659061431885,0.001333587154782141,0.0048662767142004446
29,1.0199420901133072,0.9928276046023449,30.045303749026406,28.42770706525329,512,512,2.3334097862243652,0.001333587154782141,0.0048662767142004446
30,0.2263012811413287,0.24350456941732723,28.661881937638917,27.109670699944168,512,512,2.355350971221924,0.001333587154782141,0.0048662767142004446
31,4.782307683887281,4.436979836999078,43.871549909072016,41.79285300705366,512,512,2.3772950172424316,0.001333587154782141,0.0048662767142004446
32,0.24092532054392202,0.2587057318048939,28.516890484999497,26.9726136572808,512,512,2.40023136138916,0.001333587154782141,0.0048662767142004446
33,0.5098687668103693,0.5056866310731635,28.218741551075155,26.685947500972354,512,512,2.4211761951446533,0.001333587154782141,0.0048662767142004446
34,0.29615038158642853,0.3112176843486253,28.349998555574437,26.814658750736534,512,512,2.4441139698028564,0.001333587154782141,0.0048662767142004446
35,0.3822530005962317,0.3969248419463741,27.040643758826832,25.617925851474315,512,512,2.4660556316375732,0.001333587154782141,0.0048662767142004446
36,94962.2217976068,82774.05710841558,2774951.7656549485,2717555.5922929496,512,512,2.486999034881592,0.001333587154782141,0.0048662767142004446
37,0.7309594959583372,0.7629330550804233,31.304111639674257,30.26743545432284,512,512,2.506946086883545,0.001333587154782141,0.0048662767142004446
38,0.3910979433223637,0.4210602763631069,26.474321452500302,25.139851116376846,512,512,2.5308830738067627,0.001333587154782141,0.0048662767142004446
39,0.4479210454106675,0.4781763243814609,25.902151691933145,24.578550967091292,512,512,2.5548179149627686,0.001333587154782141,0.0048662767142004446
40,0.5301122409142414,0.6268361441438283,23.34560251806258,22.317909068137492,512,512,2.5767600536346436,0.001333587154782141,0.0048662767142004446
41,0.5919633133809992,0.6413891298969823,23.461026250618396,22.25287957977269,512,512,2.598700523376465,0.001333587154782141,0.0048662767142004446
42,9.625114092152549,8.564301680977016,964.8270055193974,949.4710613929179,512,512,2.6186516284942627,0.001333587154782141,0.0048662767142004446
43,0.571184158605794,0.631761014610169,22.904170785751877,21.732812547673696,512,512,2.6405887603759766,0.001333587154782141,0.0048662767142004446
44,2.6288232870594426,2.949381103096645,38.304736406620606,37.85605491203972,512,512,2.663532257080078,0.001333587154782141,0.0048662767142004446
45,0.9159190045735528,1.0222812158123318,20.07198011532953,19.081283591334138,512,512,2.683473587036133,0.001333587154782141,0.0048662767142004446
46,3.0275267609048253,3.3367823542874113,16.505247526934166,15.847015648168622,512,512,2.7044179439544678,0.001333587154782141,0.0048662767142004446
47,1.3099354163529984,1.4447086598836447,18.51604912671134,17.598145194666575,512,512,2.7253620624542236,0.001333587154782141,0.0048662767142004446
48,9.577394618018756,9.259139856542605,927.7496840486565,913.6752805354018,512,512,2.7492997646331787,0.001333587154782141,0.0048662767142004446
49,1.452273238650732,1.6089756500543508,17.850816315169926,16.96655618209995,512,512,2.7682528495788574,0.001333587154782141,0.0048662767142004446
50,3.678376711864661,3.9846000109402127,17.021227009551573,16.46676225441184,512,512,2.7921831607818604,0.001333587154782141,0.0048662767142004446
51,1.9786177090767627,2.2240300253005896,16.21419069233726,15.431981843353789,512,512,2.8141238689422607,0.001333587154782141,0.0048662767142004446
52,7.854496328392603,8.127100158411722,13.76931825157953,13.245967937725913,512,512,2.8370630741119385,0.001333587154782141,0.0048662767142004446
53,2.879561246758299,3.183501943443427,14.570512241076909,13.793651579627657,512,512,2.8570101261138916,0.001333587154782141,0.0048662767142004446
54,2.5055177610022987,2.7870233324572156,14.391174282105247,13.586477985895483,512,512,2.87895131111145,0.001333587154782141,0.0048662767142004446
55,1.3235542294094165,1.6128562885041942,15.695056039685541,15.126754796411339,512,512,2.898897886276245,0.001333587154782141,0.0048662767142004446
56,1.577699220079304,1.8850231388169696,13.120412753720458,12.440735078319499,512,512,2.9208385944366455,0.001333587154782141,0.0048662767142004446
57,1.9708343300782674,2.3743622544902037,9.367446987819896,8.889827136330753,512,512,2.9417836666107178,0.001333587154782141,0.0048662767142004446
58,14.1234601985117,13.73710909360184,566.121979583778,558.9483563301843,512,512,2.9617323875427246,0.001333587154782141,0.0048662767142004446
59,1.8739989178558352,2.313174727360078,9.07309678018162,8.639229211012092,512,512,2.982673168182373,0.001333587154782141,0.0048662767142004446
60,3.5815231705116344,4.4198264656535375,7.2594934344521524,7.047515223335255,512,512,3.003617286682129,0.001333587154782141,0.0048662767142004446
61,2.29857255272553,2.862921145290946,6.928545939620763,6.585212003079059,512,512,3.0265567302703857,0.001333587154782141,0.0048662767142004446
62,14.154199542140997,16.519199922874442,342.02728407839123,338.83324319843774,512,512,3.048497200012207,0.001333587154782141,0.0048662767142004446
