iterations,interior_loss,interior_loss_validation,boundary_loss,boundary_loss_validation,interior_point_counts,boundary_point_counts,time_elapsed,L2_errpr,max_error
1,8.027833865570118,7.122171341074561,493.8962797545942,435.0898216189352,512,512,6.658257484436035,0.003557948310106236,0.0126357564699166
2,2156.205898290366,2035.9655384509476,231373.64623299718,237470.19644573444,512,512,6.7190937995910645,0.003557948310106236,0.0126357564699166
3,148.58672378155833,144.46138638575906,12768.316921316522,13388.006730659903,512,512,6.7709550857543945,0.003557948310106236,0.0126357564699166
4,21.41723842854109,18.328773896915646,477.518804695627,568.2773541411358,512,512,6.823814392089844,0.003557948310106236,0.0126357564699166
5,12.227162245490414,12.891100476575618,357.60915794838246,377.67226173712726,512,512,6.8756749629974365,0.003557948310106236,0.0126357564699166
6,10.984822311458434,11.775233048664704,278.18428432390886,301.8800117424323,512,512,6.933520078659058,0.003557948310106236,0.0126357564699166
7,10.845711806985339,10.223983188603738,159.705615932349,178.00167294367077,512,512,6.981391668319702,0.003557948310106236,0.0126357564699166
8,15.268015265834892,15.88370384512297,140.56216029038995,121.62413437112062,512,512,7.02527379989624,0.003557948310106236,0.0126357564699166
9,8.491439925903316,8.897353949694839,71.81783000114443,61.32486793771338,512,512,7.069161415100098,0.003557948310106236,0.0126357564699166
10,5.536511653704528,7.537974471279795,106.43016064676063,120.56942290031995,512,512,7.11403751373291,0.003557948310106236,0.0126357564699166
11,6.72142129087193,7.761841952465435,56.83333645456847,55.07742857440589,512,512,7.1589179039001465,0.003557948310106236,0.0126357564699166
12,11.277947021109078,11.2112524182611,18.109291054885844,17.94417699917584,512,512,7.206796646118164,0.003557948310106236,0.0126357564699166
13,22.39603327332179,18.653310902747677,77.75752476422905,71.32684417683333,512,512,7.252667188644409,0.003557948310106236,0.0126357564699166
14,18.80828374715522,16.1747542183731,4.648749184942933,4.529065049718902,512,512,7.2955522537231445,0.003557948310106236,0.0126357564699166
15,14.241873614525419,17.003399605112072,6.0032712216716275,9.057967680721017,512,512,7.343423366546631,0.003557948310106236,0.0126357564699166
16,11.817197331594198,16.857158784666016,4.478941789809175,5.605164061916633,512,512,7.39129638671875,0.003557948310106236,0.0126357564699166
17,6.547930487639014,10.073838980991548,38.21148396245686,39.96741837776127,512,512,7.436176061630249,0.003557948310106236,0.0126357564699166
18,11.292225137976523,16.156611838854293,4.012532803544099,4.0833390911544365,512,512,7.483050584793091,0.003557948310106236,0.0126357564699166
19,10.606397221427862,15.504540977892162,2.6981705058959298,2.8774030471162417,512,512,7.5339155197143555,0.003557948310106236,0.0126357564699166
20,7.911454761039931,12.389240265881881,1.7396575406491104,1.8775808479143343,512,512,7.582783937454224,0.003557948310106236,0.0126357564699166
21,5.722617900977616,5.889498511123918,8.902018508016425,7.4325139874889485,512,512,7.632662296295166,0.003557948310106236,0.0126357564699166
22,6.913776711391328,10.703009786998065,2.0908454552817384,2.0752709196155523,512,512,7.6745383739471436,0.003557948310106236,0.0126357564699166
23,5.962505027506441,9.072407462104872,1.907660143722099,1.8439687012580146,512,512,7.72440505027771,0.003557948310106236,0.0126357564699166
24,5.215287919525089,7.740452951902924,1.8807866342767592,1.7679518335788527,512,512,7.77328085899353,0.003557948310106236,0.0126357564699166
25,5.073526754989911,7.468214231571023,1.5601273607886106,1.5625953824369265,512,512,7.824138402938843,0.003557948310106236,0.0126357564699166
26,4.874872386065263,7.264085035497697,1.3003650240379896,1.3479190547877442,512,512,7.875002145767212,0.003557948310106236,0.0126357564699166
27,4.404261235141108,6.21827056497017,1.1846674018468872,1.148131470488441,512,512,7.928858041763306,0.003557948310106236,0.0126357564699166
28,4.027143058149947,4.991550423283404,1.073457883973553,0.9900101519015684,512,512,7.987700462341309,0.003557948310106236,0.0126357564699166
29,3.871584947309646,4.582947314539707,1.0783685930857856,0.9652545877778532,512,512,8.038565158843994,0.003557948310106236,0.0126357564699166
30,3.731675657524054,4.502114282573953,1.1236103187356634,1.0225304887445523,512,512,8.093418836593628,0.003557948310106236,0.0126357564699166
31,3.5347686250758077,4.4834405893860945,1.1338030702780386,1.0341872601370659,512,512,8.149269342422485,0.003557948310106236,0.0126357564699166
32,3.473558860854223,4.423359880512724,1.0375784891907764,0.9465583034744937,512,512,8.201129674911499,0.003557948310106236,0.0126357564699166
33,3.3157413541680687,4.240239620685909,1.05602378501696,0.9529188462620003,512,512,8.26097059249878,0.003557948310106236,0.0126357564699166
34,3.224287868679685,4.192477420798453,1.0234334849394484,0.9285879907431613,512,512,8.314825296401978,0.003557948310106236,0.0126357564699166
35,3.184146342129602,4.101897775716645,0.9914583999060755,0.9049515318146004,512,512,8.371673345565796,0.003557948310106236,0.0126357564699166
36,2.9402582249689218,3.71031095655354,1.0263595440029956,0.9277733685411991,512,512,8.458444595336914,0.003557948310106236,0.0126357564699166
37,2.91510041099223,3.568059791438109,1.0529447207512932,0.9583140828942,512,512,8.525262832641602,0.003557948310106236,0.0126357564699166
38,2.8383131564204276,3.5399582635014237,1.0182522209151794,0.9265275427361942,512,512,8.570142984390259,0.003557948310106236,0.0126357564699166
39,2.596922252028809,3.2630707534444716,1.1082800359695522,0.9941470736572762,512,512,8.628986358642578,0.003557948310106236,0.0126357564699166
40,2.450059155707348,3.166371210320637,1.1771550592871611,1.076671808203185,512,512,8.684836864471436,0.003557948310106236,0.0126357564699166
41,2.3390990939665963,3.0185455962842322,1.2312469649073583,1.120188169770348,512,512,8.74766755104065,0.003557948310106236,0.0126357564699166
42,2.327900745287408,3.0024189203184077,1.179306611193047,1.0732902753780778,512,512,8.806519985198975,0.003557948310106236,0.0126357564699166
43,2.2806402762870706,2.857241609025774,1.1161009187452482,1.0056844790713146,512,512,8.867347478866577,0.003557948310106236,0.0126357564699166
44,2.2145324808627027,2.7652001209142294,1.0501021335489356,0.9394807419198868,512,512,8.929182052612305,0.003557948310106236,0.0126357564699166
45,2.1720125297767967,2.7592275099249477,1.098549431884845,0.9471680759610736,512,512,8.994008779525757,0.003557948310106236,0.0126357564699166
46,2.141427846848891,2.6876632637003666,1.067200557167155,0.9391043656373411,512,512,9.038891792297363,0.003557948310106236,0.0126357564699166
47,2.008145287557734,2.4727312648177144,1.041159994506199,0.9371928442094722,512,512,9.09972620010376,0.003557948310106236,0.0126357564699166
48,1.85901976706404,2.3047105968739534,1.1005951886569676,0.9940508430505826,512,512,9.161590099334717,0.003557948310106236,0.0126357564699166
49,1.8428014024001302,2.258750505086966,1.06834452657521,0.9635079163123935,512,512,9.226414680480957,0.003557948310106236,0.0126357564699166
50,1.8303302106481036,2.2565639818160577,1.0315932208741516,0.9240649866517309,512,512,9.286227941513062,0.003557948310106236,0.0126357564699166
51,1.8189490404820055,2.225743083897086,0.9776015535377229,0.8648689767122762,512,512,9.351057767868042,0.003557948310106236,0.0126357564699166
52,1.8214544762725835,2.294610845575963,0.9024044353857705,0.7925795764945468,512,512,9.413885831832886,0.003557948310106236,0.0126357564699166
53,1.7891146879638005,2.3167577884504973,0.8605165990668918,0.7404681684300882,512,512,9.47671914100647,0.003557948310106236,0.0126357564699166
54,1.6799297987459492,2.206170767897294,0.8878104361023096,0.7566513554735039,512,512,9.543539762496948,0.003557948310106236,0.0126357564699166
55,1.5939287550398038,2.115302561259667,0.885145034395105,0.77157911190515,512,512,9.610361099243164,0.003557948310106236,0.0126357564699166
56,1.5288384966900668,2.0406414362558056,0.9077643334992801,0.795416476978555,512,512,9.674189805984497,0.003557948310106236,0.0126357564699166
57,1.484762903031499,2.015209438834602,0.9041834677270641,0.8124415559167657,512,512,9.739047288894653,0.003557948310106236,0.0126357564699166
58,1.4615653459520686,1.9969201698959047,0.887702314136821,0.8193471061850052,512,512,9.80883002281189,0.003557948310106236,0.0126357564699166
59,1.4614160369201195,1.9950017623079819,0.8619018214446018,0.7905475518670164,512,512,9.8706636428833,0.003557948310106236,0.0126357564699166
60,1.4540042035260925,1.9220791457428938,0.8381119666890733,0.7771902289337436,512,512,9.932499408721924,0.003557948310106236,0.0126357564699166
61,1.437777866771196,1.7834238111350176,0.8203990161032666,0.7831763988885838,512,512,9.997326374053955,0.003557948310106236,0.0126357564699166
62,1.3959189777286702,1.744214027572311,0.8188814565543702,0.8008470447313208,512,512,10.071128606796265,0.003557948310106236,0.0126357564699166
63,1.3160446375873005,1.674712857321254,0.849094094113611,0.8263989277280896,512,512,10.14095163345337,0.003557948310106236,0.0126357564699166
64,1.2721556737648774,1.6631251190488887,0.8386181066500401,0.8299055695905193,512,512,10.209757804870605,0.003557948310106236,0.0126357564699166
65,1.2246570551069076,1.6649894352016101,0.8404039401791429,0.8438594650980118,512,512,10.277576446533203,0.003557948310106236,0.0126357564699166
66,1.203406252824587,1.699522586569052,0.8090621254653032,0.829709036377658,512,512,10.35137939453125,0.003557948310106236,0.0126357564699166
67,1.1924137418592824,1.657833932967995,0.7868959982264233,0.8198868951658095,512,512,10.435155868530273,0.003557948310106236,0.0126357564699166
68,1.1831067289812338,1.6161655306162483,0.7740667435608011,0.8090287756330341,512,512,10.516935586929321,0.003557948310106236,0.0126357564699166
