iterations,interior_loss,interior_loss_validation,boundary_loss,boundary_loss_validation,interior_point_counts,boundary_point_counts,time_elapsed,L2_errpr,max_error
22,34.059058722221145,9.780169218161891,124.70371843518154,107.14276946316657,8,2,3.8692386150360107,0.03788638266208407,0.002096558149886551
23,40.04388249671548,13.597473218742412,85.02401257176662,89.60648451257367,8,2,3.8851959705352783,0.03788638266208407,0.002096558149886551
24,39.322602364476225,13.234130595743734,84.87498780269148,88.50595195212877,8,2,3.9041459560394287,0.03788638266208407,0.002096558149886551
25,36.62723560204881,11.76778132738722,92.8792488845275,90.03378357977637,8,2,3.92110013961792,0.03788638266208407,0.002096558149886551
26,38.97103662341954,13.064622867950352,85.09985025105524,88.17834137089376,8,2,3.9370572566986084,0.03788638266208407,0.002096558149886551
27,38.50648065332346,13.002015211836643,84.1108467310337,87.15435082447311,8,2,3.9520175457000732,0.03788638266208407,0.002096558149886551
28,36.60549804536557,12.639320576929203,80.08803442549053,82.91315490143441,8,2,3.9689717292785645,0.03788638266208407,0.002096558149886551
29,28.436239632413823,7.564217133246752,150.5414890041583,119.26549086680794,8,2,3.9849302768707275,0.03788638266208407,0.002096558149886551
30,34.816067168115275,12.08072699797361,76.3590534109979,78.83552550032331,8,2,4.000894546508789,0.03788638266208407,0.002096558149886551
31,33.90688057047758,11.68524743936269,74.58403165589651,76.74853324808518,8,2,4.017841815948486,0.03788638266208407,0.002096558149886551
32,31.685537547025678,10.352281534337168,81.51099499249126,78.52712481832813,8,2,4.032802581787109,0.03788638266208407,0.002096558149886551
33,33.20872832241248,11.31975260625925,73.77603354222043,75.4046451643784,8,2,4.049756050109863,0.03788638266208407,0.002096558149886551
34,22.790261970063536,3.3523686240648676,382.11803015448646,265.0308817729735,8,2,4.06471586227417,0.03788638266208407,0.002096558149886551
35,32.41067816559865,10.995271906130467,73.6305129281925,74.53355463215814,8,2,4.080673694610596,0.03788638266208407,0.002096558149886551
36,29.4202503702258,12.547845931293821,61.3903476592462,65.31455736285515,8,2,4.097628831863403,0.03788638266208407,0.002096558149886551
37,22.38196012939481,6.037314960881314,102.91483981111439,83.3780549836298,8,2,4.1135852336883545,0.03788638266208407,0.002096558149886551
38,27.080025684661884,10.443750537471395,56.35087791494104,59.67183559538314,8,2,4.130539894104004,0.03788638266208407,0.002096558149886551
39,26.090335813860175,9.118018419731508,54.00004952469377,56.89347030331821,8,2,4.147495269775391,0.03788638266208407,0.002096558149886551
40,1.9326993958859098,1.5996282421937875,16586.237622104654,11077.544185773399,8,2,4.163451671600342,0.03788638266208407,0.002096558149886551
41,25.08859006237594,8.363800102792453,55.59889163483283,56.467663329669016,8,2,4.1784117221832275,0.03788638266208407,0.002096558149886551
42,25.68969383074471,8.821394749607212,53.94593947727312,56.27461223113807,8,2,4.193372488021851,0.03788638266208407,0.002096558149886551
43,25.480395772188494,8.766864114530188,53.4833389288448,55.800930376444484,8,2,4.209329128265381,0.03788638266208407,0.002096558149886551
44,24.64438161074934,8.534089452532864,51.68593975595624,53.9206516472534,8,2,4.225287914276123,0.03788638266208407,0.002096558149886551
45,21.303669005243382,7.382556117960002,45.844426391501834,47.07959244025849,8,2,4.241243839263916,0.03788638266208407,0.002096558149886551
46,0.5012253391908381,0.4540464016253107,5363.916162567406,3579.3201969517586,8,2,4.257201433181763,0.03788638266208407,0.002096558149886551
47,19.739257266412544,6.815857770902696,43.83849485256699,44.44111124935427,8,2,4.275154113769531,0.03788638266208407,0.002096558149886551
48,11.880917231775394,3.7828501568079522,79.22000118458058,60.24036712536361,8,2,4.2921142578125,0.03788638266208407,0.002096558149886551
49,16.907836355759517,5.879645275587775,38.75561868017713,38.90523412991625,8,2,4.307067632675171,0.03788638266208407,0.002096558149886551
50,6.942933089732116,1.9773165325022848,215.2532713352083,145.59200868764145,8,2,4.325019836425781,0.03788638266208407,0.002096558149886551
51,15.657319001154901,5.482916327021767,36.4904010109085,36.39978809868862,8,2,4.340977191925049,0.03788638266208407,0.002096558149886551
52,10.257029093711314,4.1730406887730025,33.24664695933453,29.83229151439029,8,2,4.357931852340698,0.03788638266208407,0.002096558149886551
53,6.837124011302151,5.9402953994857075,12.297153166033521,15.062715145836368,8,2,4.375885009765625,0.03788638266208407,0.002096558149886551
54,3.5099709144186506,0.3190428093715303,7343.385046528856,4993.00823052667,8,2,4.390843629837036,0.03788638266208407,0.002096558149886551
55,3.6361176239005677,3.993338759916911,9.538058274003001,10.158861251603122,8,2,4.407798528671265,0.03788638266208407,0.002096558149886551
56,5.189126328335606,4.484514682317281,8.014270772685773,10.719795852428083,8,2,4.4227588176727295,0.03788638266208407,0.002096558149886551
57,4.363671190698182,4.25491838558956,7.663874170017976,9.641906993543508,8,2,4.438716411590576,0.03788638266208407,0.002096558149886551
58,1.8858063386363364,3.559272177180516,12.196415326684015,10.635464403039292,8,2,4.453675746917725,0.03788638266208407,0.002096558149886551
59,3.352276175554255,4.07601582195966,7.813814929891896,8.88351609207082,8,2,4.4686360359191895,0.03788638266208407,0.002096558149886551
60,1.76234017446854,3.9934961055842195,4.502657994638025,5.6726897148112805,8,2,4.486588001251221,0.03788638266208407,0.002096558149886551
61,1284.3409814821277,1566.866313429384,14024445.370118825,9436788.772139998,8,2,4.502544641494751,0.03788638266208407,0.002096558149886551
62,7.477166141385596,0.6540542118368827,1761.1579500327475,1245.9069850076612,8,2,4.517505645751953,0.03788638266208407,0.002096558149886551
63,0.19567085370041898,3.3217363370256265,4.743850417686152,4.7706988799842405,8,2,4.533462285995483,0.03788638266208407,0.002096558149886551
64,4.881648131467344,4.676183430997185,9.45744749169442,3.154678886234093,16,2,5.480056047439575,0.03788638266208407,0.002096558149886551
